Date,Open,Close
,BTC-USD,BTC-USD
2025-01-01,93425.1015625,94419.7578125
2025-01-02,94416.2890625,96886.875
2025-01-03,96881.7265625,98107.4296875
2025-01-04,98106.9921875,98236.2265625
2025-01-05,98233.90625,98314.9609375
2025-01-06,98314.953125,102078.0859375
2025-01-07,102248.8515625,96922.703125
2025-01-08,96924.1640625,95043.5234375
2025-01-09,95043.484375,92484.0390625
2025-01-10,92494.4921875,94701.453125
2025-01-11,94700.8359375,94566.59375
2025-01-12,94565.7265625,94488.4375
2025-01-13,94488.890625,94516.5234375
2025-01-14,94519.0078125,96534.046875
2025-01-15,96534.046875,100504.4921875
2025-01-16,100505.296875,99756.90625
2025-01-17,100025.765625,104462.0390625
2025-01-18,104124.953125,104408.0703125
2025-01-19,104411.2890625,101089.609375
2025-01-20,101083.75,102016.6640625
2025-01-21,102052.578125,106146.265625
2025-01-22,106136.3828125,103653.0703125
2025-01-23,103657.671875,103960.171875
2025-01-24,103965.671875,104819.484375
2025-01-25,104824.03125,104714.6484375
2025-01-26,104713.2109375,102682.5
2025-01-27,102680.3046875,102087.6875
2025-01-28,102095.4140625,101332.4765625
2025-01-29,101317.5234375,103703.2109375
2025-01-30,103709.3359375,104735.3046875
2025-01-31,104737.5625,102405.0234375
2025-02-01,102402.796875,100655.90625
2025-02-02,100661.5390625,97688.9765625
2025-02-03,97681.1015625,101405.421875
2025-02-04,101398.71875,97871.8203125
2025-02-05,97878.0078125,96615.4453125
2025-02-06,96610.640625,96593.296875
2025-02-07,96581.3203125,96529.0859375
2025-02-08,96533.2578125,96482.453125
2025-02-09,96481.3125,96500.09375
2025-02-10,96499.4609375,97437.5546875
2025-02-11,97438.1328125,95747.4296875
2025-02-12,95745.6953125,97885.859375
2025-02-13,97888.75,96623.8671875
2025-02-14,96623.3671875,97508.96875
2025-02-15,97508.3828125,97580.3515625
2025-02-16,97580.4921875,96175.03125
2025-02-17,96179.0078125,95773.3828125
2025-02-18,95773.8125,95539.546875
2025-02-19,95532.53125,96635.609375
2025-02-20,96632.6796875,98333.9375
2025-02-21,98340.671875,96125.546875
2025-02-22,96134.203125,96577.7578125
2025-02-23,96577.8046875,96273.921875
2025-02-24,96277.9609375,91418.171875
2025-02-25,91437.1171875,88736.171875
2025-02-26,88638.890625,84347.0234375
2025-02-27,84076.859375,84704.2265625
2025-02-28,84705.625,84373.0078125
2025-03-01,84373.8671875,86031.9140625
2025-03-02,86036.2578125,94248.3515625
2025-03-03,94248.421875,86065.671875
2025-03-04,86064.0703125,87222.1953125
2025-03-05,87222.953125,90623.5625
2025-03-06,90622.359375,89961.7265625
2025-03-07,89963.28125,86742.671875
2025-03-08,86742.65625,86154.59375
2025-03-09,86154.3046875,80601.0390625
2025-03-10,80597.1484375,78532.0
2025-03-11,78523.875,82862.2109375
2025-03-12,82857.375,83722.359375
2025-03-13,83724.921875,81066.703125
2025-03-14,81066.9921875,83969.1015625
2025-03-15,83968.40625,84343.109375
2025-03-16,84333.3203125,82579.6875
2025-03-17,82576.3359375,84075.6875
2025-03-18,84075.71875,82718.5
2025-03-19,82718.8046875,86854.2265625
2025-03-20,86872.953125,84167.1953125
2025-03-21,84164.5390625,84043.2421875
2025-03-22,84046.2578125,83832.484375
2025-03-23,83831.8984375,86054.375
2025-03-24,86070.9296875,87498.9140625
2025-03-25,87512.8203125,87471.703125
2025-03-26,87460.234375,86900.8828125
2025-03-27,86896.2578125,87177.1015625
2025-03-28,87185.234375,84353.1484375
2025-03-29,84352.0703125,82597.5859375
2025-03-30,82596.984375,82334.5234375
2025-03-31,82336.0625,82548.9140625
2025-04-01,82551.921875,85169.171875
2025-04-02,85180.609375,82485.7109375
2025-04-03,82487.4765625,83102.828125
2025-04-04,83100.25,83843.8046875
2025-04-05,83844.703125,83504.796875
